municipio,potencial_destinacao_valor,potencial_destinacao_contribuintes,destinacoes_por_localidade_valor,destinacoes_por_localidade_contribuintes,valor_destinado_fundo,quantidade_doacoes_declaradas,percentual_crianca_adolescente,percentual_pessoa_idosa,darfs_pagos_valor,quantidade_doacoes_pagas,data_referencia_declaracoes,data_referencia_darfs,fonte,data_processamento
SAIRE,104353.61,182.0,1447.46,4.0,4980.15,5.0,0.0,100.0,2501.05,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723768
SALGADINHO,19645.68,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723769
SALGUEIRO,1613867.37,2496.0,57645.68,53.0,86711.5,89.0,15.1,84.9,40252.41,40.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723773
SALOA,48641.51,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723777
SANHARO,203637.7,347.0,10612.0,13.0,14074.74,14.0,51.8,48.2,10833.88,8.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723778
SANTA CRUZ,38781.44,126.0,450.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723779
SANTA CRUZ DA BAIXA VERDE,159274.51,225.0,3696.67,4.0,900.0,3.0,22.2,77.8,200.0,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723780
SANTA CRUZ DO CAPIBARIBE,738958.78,1551.0,75852.63,109.0,50447.05,80.0,77.7,22.3,26193.25,40.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723781
SANTA FILOMENA,23651.72,92.0,141.21,1.0,420.84,2.0,33.6,66.4,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723782
SANTA MARIA DA BOA VISTA,315400.82,476.0,4746.58,8.0,4185.68,7.0,71.8,28.2,560.5,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723783
SANTA MARIA DO CAMBUCA,56872.26,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723784
SANTA TEREZINHA,46130.73,132.0,0.0,0.0,2661.01,3.0,47.8,52.2,2542.05,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723786
SAO BENEDITO DO SUL,43294.16,136.0,822.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723789
SAO BENTO DO UNA,303936.55,598.0,22196.29,22.0,9263.62,11.0,100.0,0.0,7992.2,9.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723790
SAO CAITANO,214050.54,520.0,19742.7,33.0,20820.45,51.0,41.1,58.9,13354.65,35.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723791
SAO JOAO,166595.2,341.0,1733.39,3.0,2785.35,5.0,73.0,27.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723792
SAO JOAQUIM DO MONTE,112711.57,224.0,5318.16,7.0,12317.91,6.0,0.0,100.0,817.91,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723793
SAO JOSE DA COROA GRANDE,317886.16,449.0,8021.46,7.0,31423.48,19.0,100.0,0.0,15822.3,10.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723794
SAO JOSE DO BELMONTE,434983.76,1121.0,5690.4,6.0,5440.46,7.0,10.0,90.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723795
SAO JOSE DO EGITO,415915.1,690.0,13507.05,10.0,28571.16,28.0,16.8,83.2,10577.33,12.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723796
SAO LOURENCO DA MATA,1724157.46,4135.0,15318.23,21.0,12075.48,16.0,41.2,58.8,2430.24,6.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723797
SAO VICENTE FERRER,84955.22,218.0,0.0,0.0,8032.31,4.0,48.6,51.4,82.58,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723800
SERRA TALHADA,1999762.19,3184.0,48305.48,46.0,43938.19,70.0,34.8,65.2,20054.73,31.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723803
SERRITA,86304.57,257.0,0.0,0.0,1030.14,2.0,0.0,100.0,355.93,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723804
SERTANIA,423500.9,885.0,16007.82,17.0,46016.29,58.0,19.7,80.3,22192.24,28.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723805
SIRINHAEM,275349.8,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723807
SOLIDAO,41359.01,114.0,892.0,1.0,11503.75,5.0,83.9,16.1,7398.43,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723808
SURUBIM,723692.55,1416.0,25866.75,37.0,18661.81,15.0,100.0,0.0,8968.95,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723808
TABIRA,398173.34,668.0,1679.26,3.0,13591.2,14.0,14.2,85.8,9506.62,8.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723810
TACAIMBO,43416.88,185.0,509.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723811
TACARATU,192715.25,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723812
TAMANDARE,244373.13,555.0,970.93,2.0,85932.78,67.0,100.0,0.0,41845.36,33.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723813
TAQUARITINGA DO NORTE,199662.75,288.0,4685.59,9.0,4948.06,8.0,69.4,30.6,3028.0,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723816
TEREZINHA,33314.23,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723817
TERRA NOVA,61524.06,243.0,4085.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723818
TIMBAUBA,831350.51,1156.0,6559.58,9.0,43270.9,43.0,28.9,71.1,14034.41,16.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723819
TORITAMA,188008.25,518.0,12653.67,13.0,729.34,3.0,100.0,0.0,490.27,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723820
TRACUNHAEM,49062.54,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723821
TRINDADE,263043.71,457.0,2919.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723822
TRIUNFO,297167.15,516.0,33113.33,36.0,101596.25,103.0,83.2,16.8,53268.95,38.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723823
TUPANATINGA,99323.1,221.0,929.7,2.0,263.66,1.0,100.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723824
TUPARETAMA,62295.01,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723825
VENTUROSA,148254.57,294.0,1027.72,1.0,3172.84,3.0,100.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723829
VERDEJANTE,69510.1,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723830
VERTENTE DO LERIO,16505.43,53.0,0.0,0.0,590.23,1.0,0.0,100.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723831
VERTENTES,121679.27,224.0,835.2,2.0,907.93,1.0,0.0,100.0,907.93,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723832
VICENCIA,230849.83,507.0,1346.78,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723833
VITORIA DE SANTO ANTAO,2555277.81,4683.0,61089.55,43.0,47487.66,59.0,44.3,55.7,19097.29,25.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723834
XEXEU,75984.78,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723835
